playerID,year,best_overall_score,number_of_awards,alldecade
payeka01w,,20.50103377226222,0,0
penicti01w,7.0,131.650790717181,0,1
pennjo01w,,9.954358974358975,0,0
perkiji01w,,3.7750000000000004,0,0
pettibr01w,,36.996788773920784,0,0
phillta01w,,139.9683529256942,1,0
pierspl01w,,34.22645995457463,0,0
powelel01w,,98.07811943508506,0,0
powelni01w,,12.20319914689416,0,0
pridely01w,,43.09445747051703,0,0
raglafe01w,,28.14423782416192,0,0
randase01w,,40.446561217473864,0,0
rasmukr01w,,79.37289267697214,0,0
reddja01w,,27.00283475783476,0,0
reedbr01w,,44.83453947368422,0,0
reidtr01w,,41.865700391562456,0,0
rileyru01w,,86.67893563347151,1,0
rizzoje01w,,38.374584790209795,0,0
robinas01w,,8.76842105263158,0,0
robincr01w,,116.763965002455,0,0
salesny01w,,144.49526822294186,0,0
samsh01w,,130.16738324571776,0,0
sanfona01w,,26.59449715370019,0,0
santoal01w,,10.866666666666667,0,0
santoke01w,,10.683333333333334,0,0
sauerpa01w,,14.55595238095238,0,0
saundja01w,,8.407467532467532,0,0
saureau01w,,10.528972972972975,0,0
schumke01w,,57.11450418421035,0,0
schwege01w,,24.79646970204218,0,0
scottol01w,,64.37204138675727,0,0
shakiel01w,,18.755513784461154,0,0
sharpkb01w,,9.873661971830986,0,0
smithai01w,,9.739247311827956,0,0
smithch02w,,78.08429956069548,0,0
smithch03w,,16.849305555555553,0,0
smithka01w,7.0,150.75440710693732,0,2
smithta01w,,137.0782422845735,0,0
snowmi01w,,67.71016470711953,1,0
stafftr01w,,11.245911949685533,0,0
staleda01w,7.0,110.75157788783635,0,2
starbka01w,,33.4457528793985,0,0
stedika01w,,9.920508166969146,0,0
stepama01w,,41.825158096926714,0,0
stevema01w,,6.488505747126437,0,0
stileja01w,,22.64257305194805,1,0
stinsan01w,,134.21623337829521,0,0
stiresh01w,,16.21348638349289,0,0
streiju01w,,39.75126966431315,0,0
suttota01w,,93.34074017588087,0,0
swoopsh01w,7.0,148.98131138402215,7,2
tauradi01w,7.0,32.208010758975554,1,1
taylope01w,,99.62103885151323,0,0
teaslni01w,,72.92720496529779,1,0
thomach01w,,16.599255583126553,0,0
thomala01w,,50.076088631834594,0,0
thomast01w,,57.13649293948114,0,0
thompal01w,,61.22752613191031,0,0
thompti01w,7.0,160.60155052110088,1,2
thorner01w,,11.805894531725734,0,0
timmsmi01w,,14.816666666666666,0,0
torniel01w,,22.624740663900415,0,0
tuvicsl01w,,36.12700226075479,0,0
udokamf01w,,9.848,0,0
vangomi01w,,42.723265036437084,0,0
vealkr01w,,13.782758620689656,0,0
vodicka01w,,96.01346169712875,0,0
walkeay01w,,30.07481561736471,0,0
walkede01w,,85.17271431091667,0,0
walsema01w,,5.6,0,0
washico01w,,45.24789400359528,0,0
washito01w,,22.223697801038284,0,0
wautean01w,,79.49583409104501,0,0
weathte01w,7.0,84.18461533460427,0,1
whaleli01w,,21.761325577295963,0,0
whitede01w,,12.186337760910813,0,0
whitiva01w,,10.997435897435896,0,0
whitmta01w,,93.10043264619468,0,0
wickssu01w,,37.072003205128205,1,0
williad01w,,70.51612016041427,0,0
willile01w,,12.146224256292905,0,0
willina01w,,157.8957483842088,0,0
williri01w,,65.54657092609116,0,0
witheso01w,,57.617653994068036,0,0
wolteka01w,,38.520456369180486,0,0
wrighsh01w,,6.5285714285714285,0,0
wyckobr01w,,41.80886056665068,0,0
yamasli01w,,9.585271317829458,0,0
yilmane01w,,7.186666666666666,0,0
youngca01w,,10.880851998243303,0,0
zakalok01w,,11.73591423466349,0,0
