playerID,year,tmID,team_prev_rank,college,college_count_before,rookie
tolivkr01w,10,2,5,50,4,0
blueoc01w,4,6,2,51,0,0
jamesta01w,7,20,5,51,1,0
smithje01w,6,11,2,52,0,0
haynikr01w,6,15,4,53,0,0
moeggli01w,7,2,0,53,1,0
bowenli01w,8,11,5,53,2,0
givench01w,9,5,1,54,0,0
holtam01w,9,4,3,54,1,0
whaleli01w,5,4,3,55,0,0
mccarja01w,6,1,5,55,1,0
pricear01w,8,2,7,56,0,1
thomala01w,4,3,7,57,0,0
whiteta01w,6,7,6,57,1,0
lassiam01w,2,6,2,58,0,0
bondla01w,7,1,6,58,1,0
ngarsch01w,7,11,3,58,2,0
stileja01w,2,14,7,59,0,1
pageda01w,9,4,3,60,0,0
griffke01w,11,4,6,60,1,0
adamsjo01w,4,10,8,61,0,0
barksla01w,2,14,7,62,0,0
teaslni01w,3,8,1,62,1,0
brownco01w,4,7,4,62,2,0
atkinla01w,7,7,2,62,3,0
lattaiv01w,8,5,2,62,4,0
littlca01w,8,16,6,62,5,0
larkier01w,9,11,4,62,6,0
pringla01w,9,13,1,62,7,0
mccanra01w,10,10,7,62,8,0
brelaje01w,11,4,6,62,9,0
brelaje01w,11,11,7,62,10,0
jonesma01w,11,18,0,62,11,0
lewisty01w,2,6,2,63,0,0
choneka01w,5,20,7,63,1,0
stansti01w,7,8,4,63,2,0
whittkh01w,9,7,2,63,3,0
goringi01w,8,20,4,64,0,0
raymost01w,8,2,7,65,0,0
iveyni01w,2,7,7,66,0,0
rileyru01w,2,9,6,66,1,0
batteja01w,6,10,3,66,2,0
duffyme01w,7,10,6,66,3,0
allench01w,9,15,3,66,4,0
colemco01w,4,4,0,67,0,0
matteca01w,6,1,5,67,1,0
davenje01w,8,11,5,67,2,0
lavenja01w,11,8,3,67,3,0
caufila01w,3,19,3,68,0,0
dalesst01w,3,20,8,68,1,0
rushle01w,9,2,6,68,2,0
parisco01w,10,15,4,68,3,0
olajuab01w,11,18,0,68,4,0
robinda01w,11,16,4,68,5,0
rileyan01w,11,18,0,69,0,0
berthlu01w,3,3,1,70,0,0
maigaha01w,3,15,2,70,1,0
cokermo01w,5,8,1,70,2,0
liebena01w,9,5,1,70,3,0
moweje01w,2,14,7,71,0,0
wolvean01w,2,3,2,71,1,0
curryed01w,4,13,7,71,2,0
willish01w,4,8,1,71,3,0
kraayca01w,6,11,2,71,4,0
davisbr01w,7,8,4,71,5,0
raglafe01w,3,17,8,72,0,0
walsema01w,2,15,3,73,0,0
brungje01w,5,4,3,73,1,0
mazzake01w,5,1,2,73,2,0
wrighta01w,6,17,2,73,3,0
gisseka01w,9,8,7,73,4,0
lacyje01w,7,13,5,74,0,0
ayimmi01w,11,18,0,74,1,0
walkema01w,9,6,5,75,0,0
zellosh01w,10,5,1,75,1,0
malcona01w,2,7,7,76,0,0
coopeca01w,2,11,1,77,0,0
douglka01w,2,12,3,77,1,0
wrighsh01w,5,13,7,77,2,0
gearlka01w,8,17,4,77,3,0
wisdoli01w,10,8,3,77,4,0
berezva01w,9,16,2,78,0,0
suttota01w,2,1,8,79,0,0
cunnida01w,3,12,5,79,1,0
newtoch01w,6,15,4,79,2,0
pondeca01w,7,13,5,79,3,0
ajavoma01w,9,6,5,79,4,0
carsoes01w,9,11,4,79,5,0
vaughki01w,10,11,3,79,6,0
princep01w,11,2,5,79,7,0
shielas01w,8,6,3,80,0,0
wynneda01w,2,15,3,81,0,0
gortmsh01w,3,10,6,82,0,0
pennjo01w,4,20,3,82,1,0
ujhelpe01w,4,5,8,82,2,0
whitiva01w,2,10,6,83,0,0
moosca01w,3,9,3,83,1,0
yamasli01w,3,9,3,83,2,0
donapbe01w,4,11,1,83,3,0
powelni01w,5,1,2,83,4,0
kingbsu01w,6,10,3,83,5,0
smithbr01w,9,13,1,83,6,0
wiggica01w,9,10,6,83,7,0
appelja01w,11,16,4,83,8,0
pederka01w,11,18,0,83,9,0
pohleje01w,11,7,1,83,10,0
azizle01w,4,7,4,84,0,0
dupreca01w,7,2,0,85,0,0
hairska01w,8,4,1,85,1,0
randase01w,2,17,8,86,0,0
catchta01w,3,7,6,86,1,1
snowmi01w,3,6,4,86,2,0
jacksgw01w,4,16,0,86,3,0
lawsoka01w,4,15,6,86,4,0
buttsta01w,5,10,4,86,5,0
robinas01w,5,13,7,86,6,0
elysh01w,6,16,7,86,7,0
moorelo01w,6,11,2,86,8,0
flukety01w,7,1,6,86,9,0
spencsi01w,8,8,1,86,10,0
anosini01w,9,10,6,86,11,0
bobbish01w,9,8,7,86,12,0
hornbal01w,9,5,1,86,13,0
parkeca01w,9,8,7,86,14,1
bjorkan01w,11,2,5,86,15,0
hendene01w,2,6,2,87,0,0
dillata01w,4,16,0,87,1,0
stephst01w,5,5,1,87,2,0
careyja01w,6,4,1,87,3,0
jacksti02w,8,11,5,87,4,0
saundja01w,2,13,4,88,0,0
willito01w,5,16,6,88,1,0
atunrmo01w,9,16,2,88,2,0
frankaq01w,9,15,3,88,3,0
adamsda01w,11,16,4,88,4,0
colsosy01w,11,11,7,88,5,0
irvinsa01w,6,13,5,89,0,0
rossad01w,9,16,2,89,1,0
pierspl01w,4,13,7,90,0,0
perkiji01w,5,1,2,90,1,0
greenci01w,7,17,2,90,2,0
granter01w,8,6,3,90,3,0
burseja01w,2,10,6,91,0,0
mckivte01w,4,1,2,91,1,0
slauggw01w,5,10,4,91,2,0
brondsa01w,2,9,6,92,0,0
chriska01w,3,13,5,93,0,0
tayloli01w,5,13,7,93,1,0
mannkr01w,6,10,3,93,2,0
grecomi01w,5,17,5,94,0,0
blueni01w,7,20,5,94,1,0
willili01w,7,8,4,94,2,0
quinnno01w,8,10,7,94,3,0
holmese01w,9,6,5,95,0,0
hoffmeb01w,5,7,5,96,0,0
murphsh01w,8,10,7,96,1,0
lacyna01w,11,8,3,97,0,0
snellbe01w,6,13,5,98,0,0
smithki01w,7,15,1,99,0,0
thorbsh01w,7,10,6,99,1,0
mitchle01w,9,11,4,99,2,0
nieuwma01w,6,8,1,100,0,0
klimezu01w,3,7,6,101,0,0
anderch01w,4,15,6,101,1,0
bennije01w,6,7,6,101,2,0
davisde01w,8,6,3,101,3,0
thomaca01w,8,2,7,101,4,0
wirthch01w,10,7,4,101,5,0
zollsh01w,9,10,6,102,0,0
wrighmo01w,11,10,5,102,1,0
vaughkr01w,9,20,5,103,0,0
holliqu01w,10,10,7,103,1,0
gardike01w,9,4,3,104,0,0
hallam01w,3,14,7,105,0,0
mendigi01w,5,15,3,105,1,0
oneilkr01w,9,17,4,105,2,0
paigeyo01w,6,7,6,106,0,0
leuchye01w,7,1,6,106,1,0
sanniol01w,9,5,1,106,2,0
teilaza01w,7,20,5,107,0,0
kellycr01w,9,15,3,108,0,0
mooreta01w,3,9,3,109,0,0
anderjo01w,9,4,3,109,1,0
johnsch01w,4,8,1,110,0,0
levanni01w,2,8,1,111,0,0
harriam01w,11,10,5,111,1,0
phillta02w,11,11,7,111,2,0
phillta02w,11,20,4,111,3,0
camba01w,11,18,0,112,0,0
amachma01w,2,11,1,113,0,0
boydca01w,2,5,5,113,0,0
burgean01w,2,20,4,113,0,0
fallotr01w,2,13,4,113,0,0
harrokr01w,2,10,6,113,0,0
jacksla01w,2,17,8,113,0,0
kingija01w,2,5,5,113,0,0
korstil01w,2,13,4,113,0,0
lazicka01w,2,11,1,113,0,0
luzhe01w,2,20,4,113,0,0
moisead01w,2,13,4,113,0,0
radunha01w,2,11,1,113,0,0
santoke01w,2,5,5,113,0,0
saureau01w,2,20,4,113,0,0
spornra01w,2,5,5,113,0,0
taylope01w,2,3,2,113,0,0
tuvicsl01w,2,13,4,113,0,0
vealkr01w,2,13,4,113,0,0
whittje01w,2,20,4,113,0,0
bonfisu01w,3,13,5,113,0,0
castriz01w,3,9,3,113,0,0
desouer01w,3,8,1,113,0,0
frohlli01w,3,11,2,113,0,0
garcibe01w,3,5,7,113,0,0
ngoyibe01w,3,11,2,113,0,0
sun-mju01w,4,17,4,113,0,0
yilmane01w,4,13,7,113,0,0
zirkozu01w,4,20,3,113,0,0
bibrzag01w,5,16,6,113,0,0
macchla01w,5,8,1,113,0,0
mascira01w,5,8,1,113,0,0
sanchis01w,5,5,1,113,0,0
batkosu01w,6,17,2,113,0,0
feifesu01w,6,15,4,113,0,0
lawsoed01w,6,11,2,113,0,0
martinu01w,6,10,3,113,0,0
miaomi01w,6,15,4,113,0,0
summela01w,6,4,1,113,0,0
vodopna01w,6,17,2,113,0,0
zarafr01w,6,17,2,113,0,0
gomisem01w,7,11,3,113,0,0
kostaan01w,7,6,3,113,0,0
ndongem01w,7,8,4,113,0,0
osipoir01w,7,5,4,113,0,0
paliesa01w,7,5,4,113,0,0
philler01w,7,4,1,113,0,0
vilipda01w,7,8,4,113,0,0
fernama01w,8,8,1,113,0,0
maltsev01w,8,4,1,113,0,0
grudasa01w,9,4,3,113,0,0
ogayu01w,9,13,1,113,0,0
pascafl01w,9,17,4,113,0,0
jekaban01w,10,4,2,113,0,0
nanch01w,10,2,5,113,0,0
kobryew01w,11,17,2,113,0,0
